problem_num,persona,mi_median,mi_mean,mi_std,mi_min,mi_max,mi_range
21,vibecoder,71.02644526504824,71.02644526504824,0.0,71.02644526504824,71.02644526504824,0.0
22,senior,73.7588424080326,74.25750170607353,3.2734537222596436,69.78975519495451,77.46463295216611,7.674877757211604
22,vibecoder,57.01098107174762,57.01098107174762,0.0,57.01098107174762,57.01098107174762,0.0
23,senior,72.50327909322822,74.31684779146019,3.409392749153382,71.63949599012851,80.00644023159401,8.366944241465504
23,vibecoder,58.30439312175759,58.38579268950112,0.18201496681363247,58.30439312175759,58.71139096047524,0.4069978387176505
24,senior,77.0519507039097,76.92982134036333,1.2129248356174587,75.54346814612227,78.60290062950963,3.0594324833873685
24,vibecoder,62.57630962564327,62.57630962564327,0.0,62.57630962564327,62.57630962564327,0.0
25,senior,74.32846667050312,75.16467943699648,1.9571434122571056,73.0079073362557,77.6752372000643,4.667329863808604
25,vibecoder,58.66549408956179,58.66549408956179,0.0,58.66549408956179,58.66549408956179,0.0
26,senior,72.67025325565167,72.60227031352386,0.8530522782490935,71.22706561167416,73.5549108995265,2.327845287852341
26,vibecoder,54.69202159302329,53.9048821982263,2.4893291359108987,51.15431607583331,56.157107281412756,5.002791205579449
27,senior,77.50249412735992,77.23615886673458,1.094462597657866,75.67346648802362,78.20342134117053,2.5299548531469043
27,vibecoder,62.12286813255181,62.12286813255181,0.0,62.12286813255181,62.12286813255181,0.0
28,senior,79.78171140349637,79.46678996901066,1.115426398730176,78.04895618979347,80.51554049130296,2.466584301509485
28,vibecoder,57.8495941025872,57.32744131734831,1.1675691224350073,55.238830176392746,57.8495941025872,2.6107639261944513
29,senior,73.84754746608927,73.10985667530045,2.0289948887980884,70.51813562488508,75.02207620549704,4.5039405806119674
29,vibecoder,56.933587201660046,56.80050121032093,0.2975893234872129,56.26815724496446,56.933587201660046,0.6654299566955828
31,senior,79.08242209809758,78.12291292735641,3.880246010933803,71.57655089758987,81.41819186907614,9.841640971486271
31,vibecoder,63.567856409259434,64.13857671328482,1.0125119765667616,63.357214476109085,65.57822881621128,2.221014340102194
32,senior,73.68070551909561,73.651370604019,0.06312088206568978,73.57591785960618,73.72449983521057,0.14858197560438668
32,vibecoder,50.56660001587973,50.56660001587973,0.0,50.56660001587973,50.56660001587973,0.0
33,senior,81.55875097502417,81.081098388398,4.682048720893213,75.68106542867812,86.9227534574027,11.241688028724582
33,vibecoder,76.42020806643173,80.43346071141352,11.043329294812752,72.9066793577724,100.0,27.093320642227596
34,senior,70.759403609618,74.20678632336292,6.375197919518851,69.99885767017213,85.18835700514633,15.189499334974201
34,vibecoder,68.40472779451608,68.40472779451608,0.0,68.40472779451608,68.40472779451608,0.0
35,senior,83.94413871774564,78.91401049386535,9.093522521538086,66.88726410489018,86.53724937208364,19.649985267193458
35,vibecoder,63.07418281802773,63.07418281802773,0.0,63.07418281802773,63.07418281802773,0.0
36,senior,76.77698362278355,75.62503876793288,4.356827051125513,68.6548726782502,80.3529079300494,11.698035251799197
36,vibecoder,67.69291899960024,67.50706909252789,0.441400963063764,66.717734318746,67.71588657234646,0.9981522536004661
37,senior,66.8861259821988,67.88128144260195,1.7684924028897477,66.50989579050231,70.37172759361431,3.861831803111997
37,vibecoder,52.390250138366476,52.449862980143514,0.08162824539567617,52.390250138366476,52.53928224280907,0.14903210444259685
38,senior,69.73935942666391,72.4163111765547,6.897482042024457,65.17511161505344,82.01846560151589,16.843353986462446
38,vibecoder,58.9673903215326,58.9673903215326,0.0,58.9673903215326,58.9673903215326,0.0
39,senior,75.43602044252121,75.18598598141745,0.42948556406338523,74.46774294665873,75.46216237142457,0.9944194247658373
39,vibecoder,48.77431810596927,49.705563007692426,1.3194023819246243,48.7517124005865,51.533934838983754,2.7822224383972554
40,senior,72.75183116637066,74.20666615176643,6.054790928295933,67.61088524444408,81.37405422761461,13.76316898317053
40,vibecoder,60.73142266662493,60.425127760496885,0.5239076842773933,59.61621457191907,60.803044448760325,1.1868298768412515
41,senior,86.94509035212488,87.42966289580384,1.3441505837215286,86.02938886973342,89.61174431172437,3.5823554419909414
41,vibecoder,77.51969689232453,74.48107548887157,4.160803715972995,69.9231433836921,77.51969689232453,7.596553508632425
42,senior,84.65193437606342,82.1951849467789,3.7017885773132906,77.7197897030906,85.00464764362539,7.284857940534792
42,vibecoder,61.701684234881185,61.701684234881185,0.0,61.701684234881185,61.701684234881185,0.0
43,senior,85.12192057478195,84.75556769916383,0.8494023452353083,83.85746873364798,85.71166547635185,1.854196742703877
43,vibecoder,60.69601225201207,61.843729322632534,1.9493516667658615,60.60939713975938,65.15976973742103,4.550372597661649
44,senior,82.22177659354182,82.35236989367363,1.7706297593267513,79.92865244055663,84.72931595682324,4.80066351626661
44,vibecoder,67.71147672459561,67.71147672459561,0.0,67.71147672459561,67.71147672459561,0.0
45,senior,91.91411852538893,90.59974738785914,2.2605517029784745,86.77372878656746,92.10118104135631,5.327452254788852
45,vibecoder,67.69291899960024,67.25155558510228,0.9869185975988604,65.48610192711043,67.69291899960024,2.2068170724898124
46,senior,75.69765335075331,75.0043233430334,1.9160910409826328,72.50492494888714,77.11026904513662,4.605344096249482
46,vibecoder,57.68066771375906,57.68066771375906,0.0,57.68066771375906,57.68066771375906,0.0
47,senior,61.66067220274925,62.20526374973688,1.9956005202853586,59.87826740041626,65.16468481039196,5.286417409975698
47,vibecoder,56.966057979919874,56.4033871896186,1.258170136067185,54.15270402841349,56.966057979919874,2.813353951506386
48,senior,74.14521760766407,74.25714658556952,0.5531611912320644,73.44883769650343,74.82264185238456,1.3738041558811318
48,vibecoder,58.87040117431861,59.882109210284725,2.262247941803034,58.87040117431861,63.92894135414918,5.0585401798305725
49,senior,66.74209063973946,67.40801623108513,1.4152332109494317,66.32834477351987,69.82419688528478,3.495852111764904
49,vibecoder,50.38751705336478,50.51923892995448,0.42194156647649234,50.17737348675946,51.256270002918626,1.078896516159169
50,senior,70.87787624627089,70.84197968955706,0.31384441303339256,70.4062261481052,71.27756572655116,0.871339578445955
50,vibecoder,50.870820286945865,50.424562707573536,1.9321850816881898,47.234175510524494,51.93793567562268,4.703760165098188
